P_CODE,VDC_NAME,DISTRICT,REGION,Hazard (Intensity),Exposure,Housing,Poverty,Vulnerability,Severity,Severity Normalized,Severity category
E-SAG-12-016,Harkapur,Okhaldhunga,Eastern,0.002,0.003,0.5758266818700113,0.5830000000000001,0.610263522884882,0.030737704918032786,0.03064,Low
M-RAP-55-017,Kabhrechaur,Salyan,Mid-Western,0.0,0.006,0.5940706955530217,0.735,0.7267683772538142,0.00819672131147541,0.008960000000000001,Lowest
C-BAG-28-025,Jiling,Nuwakot,Central,0.149,0.006,0.540478905359179,0.585,0.5908460471567267,0.17008196721311475,0.16942000000000002,Medium-High
E-KOS-08-009,Hamarjung,Terhathum,Eastern,0.0,0.003,0.3888255416191562,0.504,0.44244105409153944,0.010245901639344263,0.00987,Lowest
W-DHA-44-018,Deupurkot,Parbat,Western,0.0,0.003,0.6362599771949828,0.248,0.41608876560332864,0.01639344262295082,0.016810000000000002,Lowest
W-GAN-36-046,Nareshwor,Gorkha,Western,0.188,0.004,0.6009122006841505,0.521,0.5839112343966713,0.15368852459016394,0.15286,Medium-High
C-JAN-17-016,Begadawar,Dhanusa,Central,0.020000000000000004,0.007000000000000001,0.41163055872291904,0.77,0.6407766990291262,0.09221311475409837,0.09222000000000001,Medium-Low
C-NAR-31-042,Sukaura,Makwanpur,Central,0.19,0.004,0.43557582668187006,0.36400000000000005,0.3744798890429959,0.13729508196721313,0.13682000000000002,Medium-High
W-GAN-36-014,Chhoprak,Gorkha,Western,0.22799999999999998,0.006,0.6009122006841505,0.521,0.5839112343966713,0.1905737704918033,0.19073,High
M-BHE-59-002,Awalching,Surkhet,Mid-Western,0.0,0.002,0.5233751425313569,0.269,0.36199722607489604,0.006147540983606557,0.00545,Lowest
C-BAG-26-014,Nankhel,Bhaktapur,Central,0.215,0.006,0.805017103762828,0.08900000000000001,0.40776699029126207,0.1680327868852459,0.16833,Medium-High
M-BHE-57-040,Raniyapur,Banke,Mid-Western,0.0,0.007000000000000001,0.6191562143671607,0.8170000000000001,0.8002773925104022,0.0,0.0,Lowest
W-GAN-37-054,Sundarbazar,Lamjung,Western,0.023000000000000003,0.007000000000000001,0.5484606613454961,0.32000000000000006,0.41192787794729535,0.08401639344262295,0.08499000000000001,Medium-Low
E-SAG-13-056,Patheka,Khotang,Eastern,0.0,0.004,0.43671607753705816,0.396,0.3966712898751734,0.018442622950819672,0.0176,Lowest
C-JAN-17-046,Inarwa,Dhanusa,Central,0.007000000000000001,0.003,0.41163055872291904,0.77,0.6407766990291262,0.04918032786885246,0.04987,Low
